"Meldejahr","STATIONS_ID","Geschlecht","Inzidenz","Jahrestemperatur","Jahresniederschlag","LandkreisID","Kreis","Bevölkerung_Insg","Bevölkerungsentwicklung","Bevölkerung","Bundesland","Wintertemperatur","Wintertemperatur_Vorjahr","Frühlingsniederschlag","Sommerniederschlag","Sommertemperatur","Gesamt_Inzidenz"
2017,"222","weiblich",34,9.16,909.2,"14524","Zwickau",310838,-0.19,159025,"Sachsen",0.506666666666667,1.82666666666667,60.65,76.8333333333333,16.4933333333333,59
2018,"222","männlich",27,9.99,649,"14524","Zwickau",310838,-0.19,151813,"Sachsen",1.23333333333333,0.506666666666667,76.05,56.9,17.22,51
2018,"222","weiblich",24,9.99,649,"14524","Zwickau",310838,-0.19,159025,"Sachsen",1.23333333333333,0.506666666666667,76.05,56.9,17.22,51
2019,"222","männlich",34,9.98,749.9,"14524","Zwickau",310838,-0.19,151813,"Sachsen",2.19,1.23333333333333,58.8,59.6333333333333,16.4,79
2019,"222","weiblich",45,9.98,749.9,"14524","Zwickau",310838,-0.19,159025,"Sachsen",2.19,1.23333333333333,58.8,59.6333333333333,16.4,79
2020,"222","männlich",31,9.99,756.9,"14524","Zwickau",310838,-0.19,151813,"Sachsen",3.79666666666667,2.19,91.35,73.6,14.93,88
2020,"222","weiblich",57,9.99,756.9,"14524","Zwickau",310838,-0.19,159025,"Sachsen",3.79666666666667,2.19,91.35,73.6,14.93,88
2021,"222","männlich",55,8.5,936.6,"14524","Zwickau",310838,-0.19,151813,"Sachsen",0.986666666666667,3.79666666666667,105.75,127.966666666667,15.67,110
2021,"222","weiblich",55,8.5,936.6,"14524","Zwickau",310838,-0.19,159025,"Sachsen",0.986666666666667,3.79666666666667,105.75,127.966666666667,15.67,110
2022,"222","männlich",29,9.87,774.6,"14524","Zwickau",310838,-0.19,151813,"Sachsen",2.57333333333333,0.986666666666667,42.35,45.9333333333333,17.04,80
2022,"222","weiblich",51,9.87,774.6,"14524","Zwickau",310838,-0.19,159025,"Sachsen",2.57333333333333,0.986666666666667,42.35,45.9333333333333,17.04,80
2023,"222","männlich",41,10.29,894.1,"14524","Zwickau",310838,-0.19,151813,"Sachsen",3.17666666666667,2.57333333333333,52.9,55,16.36,101
2023,"222","weiblich",60,10.29,894.1,"14524","Zwickau",310838,-0.19,159025,"Sachsen",3.17666666666667,2.57333333333333,52.9,55,16.36,101
